Prompt,Query
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset"
"Retrieve the names and addresses of staff members in a specific organization, ordered by full name.","SELECT full_name, address FROM staff_directory WHERE organization_id = 'your_organization_id' ORDER BY full_name;"
Get the count of active users in a specific organization.,SELECT COUNT(*) AS active_user_count FROM users WHERE organization_id = 'your_organization_id' AND is_active = 1;
"Retrieve the names and emails of users with a specific role ID in a specific organization, ordered by email.","SELECT full_name, email FROM users WHERE roles_id = 'your_role_id' AND organization_id = 'your_organization_id' ORDER BY email;"
Find the users who have the active status set to 'true' in a specific organization.,SELECT * FROM users WHERE organization_id = 'your_organization_id' AND active = 'true';
"Retrieve the names and addresses of facilities in a specific city, filtered by a specific country, ordered by facility name.","SELECT name, address FROM facilities WHERE city = 'your_city_name' AND country = 'your_country_name' ORDER BY name;"
Get the count of active assets in a specific facility.,SELECT COUNT(*) AS active_asset_count FROM assets WHERE facility_id = 'your_facility_id' AND active = 1;
"Retrieve the names and descriptions of hazards associated with a specific facility, ordered by hazard name.","SELECT name, description FROM hazards WHERE facility_id = 'your_facility_id' ORDER BY name;"
"Find the events where a specific user has taken action within a specific date range, ordered by action date.",SELECT * FROM events WHERE user_id = 'your_user_id' AND action_date BETWEEN 'start_date' AND 'end_date' ORDER BY action_date;
"Retrieve the names and order numbers of roles associated with a specific form ID, ordered by order number.","SELECT name, order FROM event_staff_roles WHERE form_id = 'your_form_id' ORDER BY order;"
"Find the events where a specific user has taken action and updated the event within a specific date range, ordered by updated date.",SELECT * FROM events WHERE user_id = 'your_user_id' AND updated_by = 'your_user_id' AND updated_date BETWEEN 'start_date' AND 'end_date' ORDER BY updated_date;
Get the count of open events in a specific facility.,SELECT COUNT(*) AS open_event_count FROM events WHERE facility_id = 'your_facility_id' AND is_open = 1;
"Retrieve the names and addresses of facilities associated with a specific organization, filtered by a specific city, ordered by address.","SELECT name, address FROM facilities WHERE organization_id = 'your_organization_id' AND city = 'your_city_name' ORDER BY address;"
"Find events with a specific type and created by a specific user, filtered by a specific city, sorted by date created in descending order.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND created_by = 'your_user_id' AND city = 'your_city_name' ORDER BY date_created DESC;
Get the count of closed events in a specific facility.,SELECT COUNT(*) AS closed_event_count FROM events WHERE facility_id = 'your_facility_id' AND is_open = 0;
"Retrieve the names and descriptions of tools associated with a specific form ID, filtered by a specific facility, ordered by name in descending order.","SELECT name, description FROM tools WHERE form_id = 'your_form_id' AND facility_id = 'your_facility_id' ORDER BY name DESC;"
"Find the events where a specific user has taken action and updated the event within a specific date range, ordered by event ID.",SELECT * FROM events WHERE user_id = 'your_user_id' AND updated_by = 'your_user_id' AND event_id BETWEEN 'id1' AND 'id2' ORDER BY event_id;
