question,sql
What is the Part 2 when the class is 6?,SELECT Part 2 FROM table WHERE Class = 6
"What is the class when the verb meaning is to nourish, to grow?","SELECT Class FROM table WHERE Verb meaning = to nourish, to grow"
What is the Part 3 when the Verb meaning is to gather?,SELECT Part 3 FROM table WHERE Verb meaning = to gather
What is the Verb meaning when part 1 is alan?,SELECT Verb meaning FROM table WHERE Part 1 = alan
What is the average attendance for matches where the home team was vida?,SELECT AVG Attendance FROM table WHERE Home = vida
Who was the home team during the match where there were 2709 in attendance?,SELECT Home FROM table WHERE Attendance = 2709
What is the sum of the attendance where the score was 1:1?,SELECT SUM Attendance FROM table WHERE Score = 1:1
"Where did montreal visit with more than 24 points and 14,995 attendees?","SELECT Home FROM table WHERE Attendance > 14,995 AND Points > 24 AND Visitor = montreal"
How many ties occurred with a score of 2–2?,SELECT Tie no FROM table WHERE Score = 2–2
Who is the home team when Preston North End is the away team?,SELECT Home team FROM table WHERE Away team = preston north end
What school/club did the player who layed shooting guard attend?,SELECT School/Club Team FROM table WHERE Position = shooting guard
What school/club did gerald wilkins attend?,SELECT School/Club Team FROM table WHERE Player = gerald wilkins
What are the years when the grizzlies had a point guard who attended the school/club Florida?,SELECT Years for Grizzlies FROM table WHERE Position = point guard AND School/Club Team = florida
What are the years when the grizzles had a player who attended UCLA?,SELECT Years for Grizzlies FROM table WHERE School/Club Team = ucla
What are the years when the grizzles had a player who attended Villanova?,SELECT Years for Grizzlies FROM table WHERE School/Club Team = villanova
What position did the person who was with the grizzlies in 1998-1999 play?,SELECT Position FROM table WHERE Years for Grizzlies = 1998-1999
What is the date of the game when the opponent is the Cleveland Browns?,SELECT Date FROM table WHERE Opponent = cleveland browns
"What is the result of the game when the attendance is 62,078?","SELECT Result FROM table WHERE Attendance = 62,078"
"What is the result of the game when the attendance is 75,466?","SELECT Result FROM table WHERE Attendance = 75,466"
What is the genitive for the ergative shen?,SELECT Genitive FROM table WHERE Ergative = shen
What is the instrumental for the dative shen?,SELECT Instrumental FROM table WHERE Dative = shen
What is the adverbial for the nominative me?,SELECT Adverbial FROM table WHERE Nominative = me
What is the ergative for the dative chven?,SELECT Ergative FROM table WHERE Dative = chven
What is the ergative for the genitive tkven(s)?,SELECT Ergative FROM table WHERE Genitive = tkven(s)
What is the ergative for the dative (i)mas?,SELECT Ergative FROM table WHERE Dative = (i)mas
What is the Front Side Bus for Model Number c3 850?,SELECT Front Side Bus FROM table WHERE Model Number = c3 850
What is the Frequency for Model Number c3 850?,SELECT Frequency FROM table WHERE Model Number = c3 850
"Which Model number has a Front Side Bus of 100mhz, a L2-Cache of 64kib and a Multiplier of 8.5×?",SELECT Model Number FROM table WHERE Front Side Bus = 100mhz AND L2-Cache = 64kib AND Multiplier = 8.5×
What is the Voltage for Model Number c3 866?,SELECT Voltage FROM table WHERE Model Number = c3 866
"What is Finalists, when Tournament is Miami?",SELECT Finalists FROM table WHERE Tournament = miami
"What is Tournament, when Week is November 23?",SELECT Tournament FROM table WHERE Week = november 23
"What is Semifinalists, when Tournament is Rome",SELECT Semifinalists FROM table WHERE Tournament = rome
"What rank were the Buckeyes when there were 68,586 in attendance?","SELECT Rank # FROM table WHERE Attendance = 68,586"
"What date was the game when 40,000 attended?","SELECT Date FROM table WHERE Attendance = 40,000"
"What date was the game when 45,943 attended?","SELECT Date FROM table WHERE Attendance = 45,943"
Who was the opponent that played against the Buckeyes on October 17?,SELECT Opponent# FROM table WHERE Date = october 17
"What is the result of the game played when 22,555 were in attendance and the Buckeyes were ranked #1?","SELECT Result FROM table WHERE Rank # = 1 AND Attendance = 22,555"
What Player is from Connecticut?,SELECT Player FROM table WHERE College/Country/Team = connecticut
What is the highest position of the team having played under 10 matches?,SELECT MAX Position FROM table WHERE Played < 10
What is the total number of played values for teams with more than 14 points and more than 1 draw?,SELECT COUNT Played FROM table WHERE Points > 14 AND Drawn > 1
"What is the total number of positions having points over 2, more than 4 losses, and under 10 matches played?",SELECT COUNT Position FROM table WHERE Points > 2 AND Lost > 4 AND Played < 10
"WHich Televotes has a Performer of biljana dodeva, and a Draw larger than 10?",SELECT MIN Televotes FROM table WHERE Performer = biljana dodeva AND Draw > 10
"Name the highest Draw which has a Rank of 14, and a Televotes larger than 908?",SELECT MAX Draw FROM table WHERE Rank = 14 AND Televotes > 908
Name the lowest Televotes which has monika sokolovska and a Rank larger than 15?,SELECT MIN Televotes FROM table WHERE Performer = monika sokolovska AND Rank > 15
Name the lowest Draw which has a Performer of kaliopi and a Televotes larger than 3834?,SELECT MIN Draw FROM table WHERE Performer = kaliopi AND Televotes > 3834
"What is Total, when Player is ""Hale Irwin""?",SELECT Total FROM table WHERE Player = hale irwin
"What is Player, when Country is ""United States"", and when To Par is ""WD""?",SELECT Player FROM table WHERE Country = united states AND To par = wd
"What is Player, when Total is ""154""?",SELECT Player FROM table WHERE Total = 154
"What is Player, when Country is ""United States"", and when Total is ""154""?",SELECT Player FROM table WHERE Country = united states AND Total = 154
"What is Country, when To Par is ""+11""?",SELECT Country FROM table WHERE To par = +11
"What is Country, when Player is ""Hale Irwin""?",SELECT Country FROM table WHERE Player = hale irwin
"What is the lowest interview score for Missouri, where the swimsuit score was highter than 9.433?",SELECT MIN Interview FROM table WHERE Country = missouri AND Swimsuit > 9.433
What is the sum of Preliminary scores where the interview score is 9.654 and the average score is lower than 9.733?,SELECT SUM Preliminary FROM table WHERE Interview = 9.654 AND Average < 9.733
What is the sum of Swimsuit scores where the average score is 9.733 and the interview score is higher than 9.654?,SELECT SUM Swimsuit FROM table WHERE Average = 9.733 AND Interview > 9.654
What is the sum of Evening Gown scores where the swimsuit score is higher than 9.4 and the average score is lower than 9.733?,SELECT SUM Evening Gown FROM table WHERE Swimsuit > 9.4 AND Average < 9.733
What is the lowest average score where the evening gown score was 8.811?,SELECT MIN Average FROM table WHERE Evening Gown = 8.811
"For a team with a goals against less than 58, a position of 10, and a points 2 more than 53, what is the average lost?",SELECT AVG Lost FROM table WHERE Goals Against < 58 AND Position = 10 AND Points 2 > 53
"For a team having goals for more than 95, what is the lowest position?",SELECT MIN Position FROM table WHERE Goals For > 95
What is the function percentage when the estimated function percentage is 20?,SELECT Function % FROM table WHERE Estimated function % = 20
What is the measurement where the estimated function % is less than 20?,SELECT Measurement FROM table WHERE Estimated function % < 20
What is the estimated function % when the measurement is 8/8?,SELECT Estimated function % FROM table WHERE Measurement = 8/8
What place did jacky cupit take when his To par was under 13?,SELECT Place FROM table WHERE To par < 13 AND Player = jacky cupit
Which united states player had a To par of 12?,SELECT Player FROM table WHERE To par = 12 AND Country = united states
Which player had a To par of 13?,SELECT Player FROM table WHERE To par = 13
What did vijay singh score with a +5 to par?,SELECT Score FROM table WHERE To par = +5 AND Player = vijay singh
What was the average rank for south africa when they had more than 8 silver medals?,SELECT AVG Rank FROM table WHERE Nation = south africa AND Silver > 8
What is the average number of gold medals the netherlands got when they had more than 4 bronze medals?,SELECT AVG Gold FROM table WHERE Nation = netherlands AND Bronze > 4
What is the sum of the gold medals for the nation of Great britain who had more than 8 silvers and a total of less than 61 medals?,SELECT SUM Gold FROM table WHERE Silver > 8 AND Nation = great britain AND Total < 61
What is the highest number of bronze medals that israel acheived when they got less than 3 silver medals?,SELECT MAX Bronze FROM table WHERE Nation = israel AND Silver < 3
What is the total number of gold medals when the team got 2 bronze and more than 5 silver medals?,SELECT COUNT Gold FROM table WHERE Bronze = 2 AND Silver > 5
"What is Partner, when Surface is Hard, and when Score is 6–3, 7–6(0)?","SELECT Partner FROM table WHERE Surface = hard AND Score = 6–3, 7–6(0)"
"What is Opponents, when Partner is Vitalia Diatchenko?",SELECT Opponents FROM table WHERE Partner = vitalia diatchenko
"What is Partner, when Outcome is Winner, and when Date is 12 October 2003?",SELECT Partner FROM table WHERE Outcome = winner AND Date = 12 october 2003
"What is Opponents, when Partner is Mervana Jugić-Salkić?",SELECT Opponents FROM table WHERE Partner = mervana jugić-salkić
"What is the total number of Field Goal %, when Free Throw % is greater than 0.5, when Rebounds is 159, and when Points Per Game is less than 7.1?",SELECT COUNT Field Goal % FROM table WHERE Free Throw % > 0.5 AND Rebounds = 159 AND Points Per Game < 7.1
"What is the lowest Minutes Played Per Game, when Rebounds is less than 347, when Assists is greater than 5, and when Minutes Played is less than 301?",SELECT MIN Minutes Played Per Game FROM table WHERE Rebounds < 347 AND Assists > 5 AND Minutes Played < 301
"What is the lowest Minutes Played, when Rebounds is 25, and when Field Goal % is less than ""0.315""?",SELECT MIN Minutes Played FROM table WHERE Rebounds = 25 AND Field Goal % < 0.315
"What is the average Rebounds, when Minutes Played is ""113"", and when Games Played is greater than ""18""?",SELECT AVG Rebounds FROM table WHERE Minutes Played = 113 AND Games Played > 18
What is the score on March 17?,SELECT Score FROM table WHERE Date = march 17
Which event led to a loss against Josh Diekman?,SELECT Event FROM table WHERE Res. = loss AND Opponent = josh diekman
Which location led to a decision and a record of 1-2?,SELECT Location FROM table WHERE Method = decision AND Record = 1-2
Which method took place against Chris Herring?,SELECT Method FROM table WHERE Opponent = chris herring
What is the highest number of laps that max biaggi rode on a grid larger than 2?,SELECT MAX Laps FROM table WHERE Rider = max biaggi AND Grid > 2
What is the highest grid that tetsuya harada rode in?,SELECT MAX Grid FROM table WHERE Rider = tetsuya harada
What is the average number of laps that were made when the race took a time of +48.325?,SELECT AVG Laps FROM table WHERE Time/Retired = +48.325
What is the total number of laps during the race that had a time of +9.682?,SELECT COUNT Laps FROM table WHERE Time/Retired = +9.682
"What is the highest Pick, when College is ""Syracuse"", and when Overall is less than 18?",SELECT MAX Pick FROM table WHERE College = syracuse AND Overall < 18
"What is Position, when College is ""Houston""?",SELECT Position FROM table WHERE College = houston
What is the number of networks when the size of rest bit field is 8?,SELECT Number of networks FROM table WHERE Size of rest bit field = 8
What is the start address when the network number bit field is 16?,SELECT Start address FROM table WHERE Size of network number bit field = 16
What is the end address for the Class E (Reserved)?,SELECT End address FROM table WHERE Class = class e (reserved)
What is the size of the rest bit field when the leading bits are more than 110 and the start address is 224.0.0.0?,SELECT Size of rest bit field FROM table WHERE Leading bits > 110 AND Start address = 224.0.0.0
W hat was the lowest Goals For when they played Team Goole Town and had a position lower than 9?,SELECT MIN Goals For FROM table WHERE Team = goole town AND Position < 9
